1,The Great Gatsby,Book,10.99,5.99,4,,,,,,F. Scott Fitzgerald,9780000000000,1925,BookGenre,Scribner
2,To Kill a Mockingbird,Book,12.5,7.5,3,,,,,,Harper Lee,9780000000000,1960,BookGenre,Harper Perennial Modern Classics
3,1984,Book,14.99,9.99,4,,,,,,George Orwell,9780000000000,1949,BookGenre,Signet Classics
4,Harry Potter and the Sorcerer's Stone,Book,15.99,10.99,6,,,,,,J.K. Rowling,9780000000000,1997,BookGenre,Scholastic
5,The Catcher in the Rye,Book,11.99,9.99,2,,,,,,J.D. Salinger,9780000000000,1951,BookGenre, Brown and Company
6,Lego Star Wars Darth Vader,Toy,29.99,24.99,10,LEGO,,5,ASTM F963,Plastic,,,,,
7,Barbie Dreamhouse,Toy,199.99,194.99,4,Mattel,,3,ASTM F963,Plastic,,,,,
8,Hot Wheels 50 Car Pack,Toy,49.99,44.99,8,Mattel,,5,ASTM F963,Plastic,,,,,
9,Transformers Optimus Prime,Toy,35.99,30.99,5,Hasbro,,5,ASTM F963,Plastic,,,,,
10,Nerf Elite Disruptor,Toy,24.99,19.99,12,Hasbro,,9,EN71,Plastic,,,,,
11,Parker Jotter Pen,Stationery,8.99,3.99,14,Parker,pen ,,,Metal,,,,,
12,Moleskine Classic Notebook,Stationery,14.99,9.99,20,Moleskine,notebook,,,Paper,,,,,
13,Staedtler Triplus Fineliner,Stationery,19.99,14.99,30,Staedtler,fineliner,,,Plastic,,,,,
14,Faber-Castell Colored Pencils,Stationery,15.99,10.99,22,Faber-Castell,pencil,,,Wood,,,,,
15,Post-it Super Sticky Notes,Stationery,5.99,0.99,34,3M,stickynotes,,,Paper,,,,,
16,The Alchemist,Book,9.99,4.99,12,,,,,,Paulo Coelhoooo,66666666666,1988,BookGenre,HarperOne
17,Brave New World,Book,12.99,7.99,3,,,,,,Aldous Huxley,9780000000000,1932,BookGenre,Harper Perennial Modern Classics
18,The Lord of the Rings: The Fellowship of the Ring,Book,15.99,10.99,4,,,,,,J.R.R. Tolkien,9780000000000,1954,BookGenre,Houghton Mifflin Harcourt
19,The Hitchhiker's Guide to the Galaxy,Book,11.99,6.99,2,,,,,,Douglas Adams,9780000000000,1979,BookGenre,Del Rey
20,The Da Vinci Code,Book,14.99,9.99,2,,,,,,Dan Brown,9780000000000,2003,BookGenre,Doubleday
21,Rubik's Cube,Toy,19.99,14.99,20,Rubik,,5,ASTM F963,Plastic,,,,,
22,Play-Doh 36-Can Super Color Pack,Toy,29.99,24.99,13,Hasbro,,9,EN71,Plastic,,,,,
23,My Little Pony Rainbow Dash,Toy,12.99,7.99,23,Hasbro,,3,ASTM F963,Plastic,,,,,
24,VTech Kidizoom Camera,Toy,49.99,44.99,7,VTech,,3,ASTM F963,Plastic,,,,,
25,Melissa & Doug Wooden Blocks,Toy,24.99,19.99,10,Melissa & Doug,,3,ASTM F963,Wood,,,,,
26,Bic Cristal Ball Pen,Stationery,0.99,-4.01,99,Bic,pen,,,Plastic,,,,,
27,Leuchtturm1917 Notebook,Stationery,18.99,13.99,13,Leuchtturm1917,notebook,,,Paper,,,,,
28,Pentel EnerGel Liquid Gel Pen,Stationery,2.49,-2.51,30,Pentel,pen,,,Plastic,,,,,
29,Sharpie Permanent,Stationery,8.99,3.99,19,Sharpie,sharpie,,,Plastic,,,,,
30,Quan,Toy,123,118,122,dell,,18,QUAN,plastic,,,,,
31,qq,Stationery,12,7,12,def,quan,,,wqewe,,,,,
32,yoyo,Toy,30,25,29,htvc,,3,ASTM F963,plastic,,,,,
33,dac nhan tam,Book,20,15,22,,,,,,dale carnegie,124531231,2012,BookGenre,Sbooks
